"_numero","_ano","_tipo","nomeProposicao","idProposicao","tipoProposicao","tema","Ementa","Autor","DataApresentacao","RegimeTramitacao","Apreciacao","Indexacao","Situacao","LinkInteiroTeor"
"197","2012","PEC","PEC 197/2012","551712","Proposta de Emenda à Constituição","Tributação","Altera o § 2º do art. 155 da Constituição Federal, para modificar a sistemática de cobrança do imposto sobre operações relativas à circulação de mercadorias e sobre prestações de serviços de transporte interestadual e intermunicipal e de comunicação incidente sobre as operações e prestações realizadas de forma não presencial e que destinem bens e serviços a consumidor final localizado em outro Estado.","Senado Federal - Delcídio do Amaral","10/07/2012","Especial","Proposição Sujeita à Apreciação do Plenário","Normas, cobrança, ICMS, destinação, bens, serviços, aplicação, alíquota interestadual, responsabilidade, Estado, destinatário, pagamento, diferença, alíquota, recolhimento, imposto.","Tranformada no(a) Emenda Constitucional 87/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1012324"
"4246","2012","PL","PL 4246/2012","552295","Projeto de Lei","Desenvolvimento Urbano e Trânsito; Trabalho e Emprego","Dispõe sobre o exercicio da profissão de motorista.

NOVA EMENTA: Dispõe sobre o exercício da profissão de motorista; altera a Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro, e 11.442, de 5 de janeiro de 2007 (empresas e transportadores autônomos de carga), para disciplinar a jornada de trabalho e o tempo de direção do motorista profissional; altera a Lei nº 7.408, de 25 de novembro de 1985; revoga dispositivos da Lei nº 12.619, de 30 de abril de 2012; e dá outras providências.","Jerônimo Goergen","01/08/2012","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, CLT,  Código de Trânsito Brasileiro, motorista profissional, jornada de trabalho, repouso.","Tranformada no(a) Lei Ordinária 13103/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1015994"
"209","2012","PEC","PEC 209/2012","553947","Proposta de Emenda à Constituição","Direito e Justiça","Insere o § 1º ao art. 105, da Constituição Federal, e renumera o parágrafo único.","Rose de Freitas","23/08/2012","Especial","Proposição Sujeita à Apreciação do Plenário","Requisito, admissibilidade, recurso especial, Superior Tribunal de Justiça (STJ).","PLEN - Aguardando Deliberação","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1020915"
"7492","2013","REQ","REQ 7492/2013 => PL 4372/2012","571550","Requerimento de Urgência (Art. 155 do RICD)","","Requer, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 4.372, de 2012, do Executivo, que ""cria o Instituto Nacional de Supervisão e Avaliação da Educação Superior - INSAES, e dá outras providências"".","Anthony Garotinho","10/04/2013","Ordinária","Requerimento","","MESA - Tramitação do Requerimento Finalizada","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1075601"
"278","2013","PLP","PLP 278/2013","578047","Projeto de Lei Complementar","Indústria, Comércio e Abastecimento","Altera a Lei Complementar n° 123, de 14 de dezembro de 2006.","Mauro Mariani","22/05/2013","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Estatuto da Micro e Pequena Empresa, microempreendedor individual, utilização, residência, sede, estabelecimento, local, exercício, atividade.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1091451"
"5735","2013","PL","PL 5735/2013","580148","Projeto de Lei","Organização Política, Partidária e Eleitoral","Altera dispositivos da Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), da Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos) e da Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).

NOVA EMENTA: Altera as Leis nºs 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 - Código Eleitoral, para reduzir os custos das campanhas eleitorais, simplificar a administração dos Partidos Políticos e incentivar a participação feminina.","Ilário Marques","06/06/2013","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Código Eleitoral, Lei Orgânica dos Partidos Políticos, Lei das Eleições, revisão, processo, registro, candidatura, proibição, substituição, candidato, eleição majoritária, quitação, prestação de contas, atividade, campanha eleitoral, voto, candidato, partido político, registro, sub judice, recebimento, doação, concessionária, permissionário, serviço público, utilização, rede social, Internet, limitação, poder de família, propaganda eleitoral, cassação, registro, dupla filiação, filiação partidária, propaganda partidária.","Tranformada no(a) Lei Ordinária 13165/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1102056"
"302","2013","PLP","PLP 302/2013","585608","Projeto de Lei Complementar","Trabalho e Emprego","Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.

NOVA EMENTA:  Dispõe sobre o contrato de trabalho doméstico; altera as Leis nºs 8.212, de 24 de julho de 1991, 8.213, de 24 de julho de 1991, e 11.196, de 21 de novembro de 2005; e revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, e a Lei nº 5.859, de 11 de dezembro de 1972.","Senado Federal - Comissão Mista destinada a consolidar a legislação federal e a regulamentar dispositivos da Constituição Federal","17/07/2013","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Normas, contrato de trabalho, empregado doméstico, idade, duração do trabalho, jornada de trabalho, remuneração, serviço extraordinário, hora extra, compensação, horário de trabalho, jornada especial de trabalho, trabalho noturno, férias, Fundo de Garantia do Tempo de Serviço (FGTS), regulamentação, conselho curador, aviso prévio, seguro desemprego, criação, Simples Doméstico.  
_ Alteração, Lei Orgânica da Seguridade Social,  Lei de Benefícios da Previdência Social, definição, dia, recolhimento, empregador doméstico, contribuição previdenciária, segurado obrigatório, inclusão, dependente, segurado obrigatório, beneficiário, auxilio acidente, salário família.  
_ Alteração, Lei do Bem, prazo, recolhimento, imposto de renda, pessoa física, criação, Programa de Recuperação Previdenciária dos Empregadores Domésticos, parcelamento, débitos, Instituto Nacional do Seguro social (INSS), empregado doméstico. 
_ Alteração, Auditor-Fiscal do Trabalho, fiscalização, inspeção de trabalho, domicílio, residência, empregador doméstico, agendamento, infração, irregularidade, anotação, Carteira de Trabalho e Previdência Social (CTPS), trabalho escravo, trabalho infantil, maus-tratos, isenção, contribuição sindical, CLT.","Tranformada no(a) Lei Complementar 150/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1111186"
"8530","2013","REQ","REQ 8530/2013 => PL 4330/2004","590796","Requerimento de Urgência (Art. 155 do RICD)","","Requeremos, nos termos do art. 155, do Regimento Interno da Câmara dos Deputados, urgência para a tramitação do Projeto de Lei nº 4330 de 2004, de autoria do Sr. Deputado Sandro Mabel - PMDB/GO, que dispõe sobre contrato de prestação de serviço a terceiros e as relações de trabalho dele decorrentes.","Eduardo Cunha","04/09/2013","Ordinária","Requerimento","","MESA - Tramitação do Requerimento Finalizada","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1126364"
"1287","2013","PDC","PDC 1287/2013","591830","Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais","Ciência e Tecnologia; Relações Internacionais","Aprova o texto da Convenção que estabelece a Organização Europeia para a Pesquisa Astronômica no Hemisfério Austral, assinado em Brasília, em 29 de dezembro de 2010, e os demais atos internacionais a ela anexados, que especifica.

NOVA EMENTA: Aprova o texto da Convenção que Estabelece a Organização Europeia para a Pesquisa Astronômica no Hemisfério Austral, cuja adesão brasileira foi assinada em Brasília, em 29 de dezembro de 2010, e os demais atos internacionais a ela anexados, que especifica.","Comissão de Relações Exteriores e de Defesa Nacional","12/09/2013","Urgência","Proposição Sujeita à Apreciação do Plenário","Convenção internacional, adesão, Brasil, Organização Europeia para a Pesquisa Astronômica no Hemisfério Sul.","Tranformada no(a) Decreto Legislativo 99/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1132688"
"6446","2013","PL","PL 6446/2013","593856","Projeto de Lei","Direito e Justiça","Dispõe sobre o direito de resposta ou retificação do ofendido por matéria divulgada, publicada ou transmitida por veículo de comunicação social.","Senado Federal - Roberto Requião","27/09/2013","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Normas, prazo, exercício, direito de resposta, retificação, ofendido, reportagem, notícia, divulgação, publicação, transmissão, emissora, rádio, televisão, Internet, danos, honra, reputação, nome, marca, imagem, pessoa, empresa, prova, verdade, calúnia, difamação, reparação, indenização, multa.","Tranformada no(a) Lei Ordinária 13188/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1143637"
"352","2013","PEC","PEC 352/2013","600023","Proposta de Emenda à Constituição","Organização Política, Partidária e Eleitoral","Altera os arts. 14, 17, 27, 29, 45 e 121 da Constituição Federal, para tornar o voto facultativo, modificar o sistema eleitoral e de coligações, dispor sobre o financiamento de campanhas eleitorais, estabelecer cláusulas de desempenho para candidatos e partidos, prazo mínimo de filiação partidária e critérios para o registro dos estatutos do partido no Tribunal Superior Eleitoral, determinar a coincidência das eleições e a proibição da reeleição para cargos do Poder Executivo, regular as competências da Justiça Eleitoral e submeter a referendo as alterações relativas ao sistema eleitoral.","Cândido Vaccarezza","06/11/2013","Especial","Proposição Sujeita à Apreciação do Plenário","Reforma política, Direitos políticos, voto facultativo, prazo mínimo, filiação partidária, proibição, reeleição, obrigatoriedade, vinculação, coligação eleitoral, deputado federal, critérios, registro, partido político, recursos, fundo partidário, financiamento, campanha eleitoral, circunscrição eleitoral, deputado estadual, verador, Câmara dos Deputados, competência, justiça eleitoral.","MESA - Arquivada","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1176709"
"1410","2013","PDC","PDC 1410/2013","602599","Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais","Relações Internacionais","Aprova o texto do Acordo de Cooperação Técnica entre o Governo da República Federativa do Brasil e o Governo da República da Guiné, assinado em Brasília, em 21 de novembro de 2011.","Comissão de Relações Exteriores e de Defesa Nacional","28/11/2013","Urgência","Proposição Sujeita à Apreciação do Plenário","Aprovação, ato internacional, acordo de cooperação técnica, Brasil, Guiné.","Tranformada no(a) Decreto Legislativo 98/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1200480"
"358","2013","PEC","PEC 358/2013","602633","Proposta de Emenda à Constituição","Finanças Públicas e Orçamento","Altera os arts. 165 e 166 da Constituição Federal, para tornar obrigatória a execução da programação orçamentária que especifica.

NOVA EMENTA: Altera os arts. 165, 166 e 198 da Constituição Federal, para tornar obrigatória a execução da programação orçamentária que especifica.","Senado Federal","28/11/2013","Especial","Proposição Sujeita à Apreciação do Plenário","Obrigatoriedade, critérios, execução, programação orçamentária, impedimento legal, técnico, cumprimento, restos a pagar, limitação, emenda individual, projeto de lei orçamentária.","Tranformada no(a) Emenda Constitucional 86/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1200541"
"366","2013","PLP","PLP 366/2013","603566","Projeto de Lei Complementar","Administração Pública; Tributação","Altera a Lei Complementar nº 116, de 31 de julho de 2003, que dispõe sobre o Imposto sobre Serviços de Qualquer Natureza; a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa); e a Lei Complementar nº 63, de 11 de janeiro de 1990, que dispõe sobre critérios e prazos de crédito das parcelas do produto da arrecadação de impostos de competência dos Estados e de transferências por estes recebidas, pertencentes aos Municípios, e dá outras providências.","Senado Federal - Romero Jucá","06/12/2013","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei do ISS, Lei da Improbidade Administrativa, incidência, ISS, local, prestação de serviço, reparação, solo, plantio, silagem, colheita, semovente, vigilância, município, execução, transporte municipal, fixação, limite mínimo, alíquota, inclusão, relação, serviços, hospedagem, disponibilização, dados, texto, imagem, confecção, lente de contato, tatuagem, piercing, produção, gravação, edição, legenda, filme, videoteipe, costura, guincho, guindaste, transporte coletivo municipal,  propaganda, publicidade, traslado, cremação, cessão, cemitério, crime, improbidade administrativa, concessão, isenção, benefício fiscal, incentivo fiscal, critérios, destinação, ICMS, municípios.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1207621"
"9909","2014","REQ","REQ 9909/2014 => PL 5201/2013","611193","Requerimento de Urgência (Art. 155 do RICD)","","Requer regime de urgência na apreciação do Projeto de Lei nº 5.201, de 2013, que ""altera a Lei nº 11.345, de 14 de setembro de 2006, para modificar a destinação dos valores arrecadados no concurso de prognóstico denominado Timemania com o objetivo de torná-la mais atraente para seus apostadores e de aumentar a capacidade de pagamento das entidades desportivas quanto às suas dívidas fiscais junto à União, e dá outras providências"" e apensado (PL6753/13) - PROFORTE.","Jovair Arantes","02/04/2014","Ordinária","Requerimento","","Diversas","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1241583"
"395","2014","PEC","PEC 395/2014","611966","Proposta de Emenda à Constituição","Educação","Altera a redação do inciso IV do art. 206 da Constituição Federal, referente à gratuidade do ensino público em estabelecimentos oficiais.","Alex Canziani","09/04/2014","Especial","Proposição Sujeita à Apreciação do Plenário","Gratuidade, ensino público, educação básica, educação superior, curso de graduação, mestrado, doutorado, exclusão, extensão universitária.","Diversas","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1245688"
"7469","2014","PL","PL 7469/2014","613662","Projeto de Lei","Trabalho e Emprego","Altera a Lei nº 12.382, de 25 de fevereiro de 2011, com o objetivo de estender o prazo referente à política de valorização do salário mínimo e, consequentemente, o seu aumento real, mantendo os índices de correção vigentes.","Paulo Pereira da Silva","29/04/2014","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, ampliação, prazo, vigência, política, valorização, reajuste, salário mínimo,","PLEN - Tramitando em Conjunto","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1249462"
"7735","2014","PL","PL 7735/2014","619150","Projeto de Lei","Ciência e Tecnologia; Indústria, Comércio e Abastecimento; Meio Ambiente e Desenvolvimento Sustentável","Regulamenta o inciso II do § 1º e o § 4º do art. 225 da Constituição; os arts. 1, 8, ""j"", 10, ""c"", 15 e 16, §§ 3 e 4 da Convenção sobre Diversidade Biológica, promulgada pelo Decreto nº 2.519, de 16 de março de 1998; dispõe sobre o acesso ao patrimônio genético; sobre a proteção e o acesso ao conhecimento tradicional associado; sobre a repartição de benefícios para conservação e uso sustentável da biodiversidade; e dá outras providências.

NOVA EMENTA: Regulamenta o inciso II do § 1º e o § 4º do art. 225 da Constituição Federal, o Artigo 1,  a alínea j do Artigo 8, a alínea c do Artigo 10, o Artigo 15 e os §§ 3º e 4º do Artigo 16 da Convenção sobre Diversidade Biológica, promulgada pelo Decreto nº 2.519, de 16 de março de 1998; dispõe sobre o acesso ao patrimônio genético, sobre a proteção e o acesso ao conhecimento tradicional associado e sobre a repartição de benefícios para conservação e uso sustentável da biodiversidade; revoga a Medida Provisória nº 2.186-16, de 23 de agosto de 2001; e dá outras providências.","Poder Executivo","24/06/2014","Urgência art. 64 CF","Proposição Sujeita à Apreciação do Plenário","Regulamentação, Constituição Federal (1988), acesso, patrimônio genético, proteção, conhecimento popular, grupo indígena, repartição, benefícios, exploração econômica, conservação, uso sustentável, biodiversidade, tecnologia, transferência, remessa, exterior, parte, total, espécie animal, espécie vegetal, microorganismo, fiscalização, entidade, pesquisa, manejo, material genético, implementação, política pública, acordo internacional, responsabilidade, coordenação, Conselho de Gestão do Patrimônio Genético (CGEN), criação, Fundo Nacional para a Repartição de Benefícios (FNRB), Programa Nacional de Repartição de Benefícios (PNRB). _Extinção, função comissionada, criação, cargo em comissão, Secretaria Executiva, Conselho de Gestão do Patrimônio Genético (CGEN).","Tranformada no(a) Lei Ordinária 13123/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1262635"
"7924","2014","PL","PL 7924/2014","622072","Projeto de Lei","Administração Pública","Dispõe sobre o subsídio do Defensor Público-Geral  Federal e dá outras providências.","Defensoria Pública da União","29/08/2014","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Reajuste, subsídio, Defensor Público-Geral Federal, critérios, fixação, valor, lei federal, iniciativa, Defensor Público.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275767"
"660","2014","MPV","MPV 660/2014","796341","Medida Provisória","Administração Pública","Altera a Lei nº 12.800, de 23 de abril de 2013, que dispõe sobre as tabelas de salários, vencimentos, soldos e demais vantagens aplicáveis aos servidores civis, aos militares e aos empregados oriundos do exTerritório
Federal de Rondônia integrantes do quadro em extinção de que trata o art. 85 da Lei nº 12.249, de 11 de junho de 2010, e dá outras providências.

NOVA EMENTA: Altera a Lei nº 12.800, de 23 de abril de 2013, que dispõe sobre as tabelas de salários, vencimentos, soldos e demais vantagens aplicáveis aos servidores civis, aos militares e  aos  empregados  oriundos   do ex-Território Federal de Rondônia integrantes do quadro em extinção de que trata o art. 85 da Lei nº 12.249, de 11 de junho de 2010, e os Anexos III e III-A da Lei nº 11.356, de 19 de outubro de 2006; e dá outras providências.","Poder Executivo","24/11/2014","Urgência","Proposição Sujeita à Apreciação do Plenário","Alteração, lei federal, tabela de vencimentos, salário, soldo, vantagem pecuniária, servidor público, empregado, militar, policial civil, policial militar, ex-território, Amapá, Roraima, opção, ingresso, quadro em extinção, União Federal, criação, Plano de Classificação de Cargos dos Ex-Territórios Federais, Gratificação de Desempenho do Plano de Classificação de Cargos dos Ex-Territórios Federais,","Tranformada no(a) Lei Ordinária 13121/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1288673"
"661","2014","MPV","MPV 661/2014","808898","Medida Provisória","Finanças Públicas e Orçamento","Autoriza a União a conceder crédito ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES e a destinar superávit financeiro das fontes de recursos existentes no Tesouro Nacional à cobertura de despesas primárias obrigatórias.

NOVA EMENTA: Autoriza a União a conceder crédito ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES e a destinar superávit financeiro das fontes de recursos existentes no Tesouro Nacional à cobertura de despesas primárias obrigatórias; e altera as Leis nºs 12.096, de 24 de novembro de 2009, 10.820, de 17 de dezembro de 2003, 8.213, de 24 de julho de 1991, e 8.112, de 11 de dezembro de 1990.","Poder Executivo","03/12/2014","Urgência","Proposição Sujeita à Apreciação do Plenário","Autorização, União, concessão, crédito, Banco Nacional de Desenvolvimento Econômico e Social (BNDES), destinação, superavit financeiro, fonte de recursos, Tesouro Nacional, cobertura orçamentária, despesa.","Tranformada no(a) Lei Ordinária 13126/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1290569"
"10903","2014","REQ","REQ 10903/2014 => PL 1462/2007","818166","Requerimento de Urgência (Art. 155 do RICD)","","Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 1.462, de 2007, que ""obriga, nas hipóteses que especifica, a veiculação de mensagens de advertência sobre o risco de escassez e de incentivo ao consumo moderado de água"".","George Hilton","09/12/2014",".",".","","Diversas","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1291689"
"663","2014","MPV","MPV 663/2014","860923","Medida Provisória","Política Econômica","Altera a Lei nº 12.096, de 24 de novembro de 2009.","Poder Executivo","19/12/2014","Urgência","Proposição Sujeita à Apreciação do Plenário","Alteração, lei federal, autorização, União, concessão, subvenção econômica, modalidade, equalização de taxas de juros, operação, financiamento","Tranformada no(a) Lei Ordinária 13132/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295286"
"664","2014","MPV","MPV 664/2014","865929","Medida Provisória","Administração Pública; Previdência e Assistência Social","Altera as Leis nº 8.213, de 24 de julho de 1991, nº 10.876, de 2 junho de 2004, nº 8.112, de 11 de dezembro de 1990, e a Lei nº 10.666, de 8 de maio de 2003.

NOVA EMENTA: Altera as Leis nºs 8.213, de 24 de julho de 1991, 10.876, de 2 de junho de 2004, 8.112, de 11 de dezembro de 1990, e 10.666, de 8 de maio de 2003; e dá outras providências.","Poder Executivo","30/12/2014","Urgência","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei de Benefícios da Previdência Social, período de carência, pensão por morte, exceção, acidente do trabalho, doença ocupacional.  
_Auxílio-doença, aposentadoria por invalidez, perícia médica, Instituto Nacional do Seguro Social (INSS), critério, concessão, pensão por morte, valor, limite, tempo, expectativa de sobrevida.  
_Alteração, Lei Federal, supervisão, perícia médica.   
_Alteração, Regime Jurídico Único, critério, concessão, pensão por morte, carência, valor, limite, tempo, expectativa de sobrevida, proibição, cumulatividade.  
_Alteração, lei federal, compensação financeira, regime, Previdência Social.","Tranformada no(a) Lei Ordinária 13135/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295851"
"665","2014","MPV","MPV 665/2014","865930","Medida Provisória","Previdência e Assistência Social; Trabalho e Emprego","Altera a Lei nº 7.998, de 11 de janeiro de 1990, que regula o Programa do Seguro- Desemprego, o Abono Salarial e institui o Fundo de Amparo ao Trabalhador - FAT, altera a Lei nº 10.779, de 25 de novembro de 2003, que dispõe sobre o seguro desemprego para o pescador artesanal, e dá outras providências.

NOVA EMENTA: Altera as Leis nºs 7.998, de 11 de janeiro de 1990, que regula o Programa do Seguro-Desemprego, o Abono Salarial e institui o Fundo de Amparo ao Trabalhador - FAT, 10.779, de 25 de novembro de 2003, que dispõe sobre o seguro-desemprego para o pescador artesanal, e 8.213, de 24 de julho de 1991; revoga as Leis nºs 7.859, de 25 de outubro de 1989, e 8.900, de 30 de junho de 1994; e dá outras providências.","Poder Executivo","30/12/2014","Urgência","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei do Seguro-Desemprego, critério, concessão, seguro desemprego, período, máximo, abono salarial, pagamento.  
_ Alteração, Lei do Seguro-Defeso, seguro desemprego, pescador profissional, habilitação, benefício.","Tranformada no(a) Lei Ordinária 13134/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295852"
"10","2015","PL","PL 10/2015","944251","Projeto de Lei","Direito Civil e Processual Civil; Trabalho e Emprego","Altera o art. 2º do Decreto-Lei nº 2.296, de 21 de novembro de 1986, a alínea ""p"" do § 9º do art. 28 da Lei nº 8.212, de 24 de julho de 1991 e o art. 63 da Medida Provisória nº 2.158-35, de 24 de agosto de 2001, e dá outras providências.","Lucas Vergilio","02/02/2015","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei Orgânica da Seguridade Social, seguro de vida, sobrevivência, pagamento, despesa, plano de saúde, seguro saúde, critérios, tributação, rendimento, seguro de vida.","MESA - Aguardando Apreciação pelo Senado Federal","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296689"
"668","2015","MPV","MPV 668/2015","944494","Medida Provisória","Tributação","Altera a Lei nº 10.865, de 30 de abril de 2004, para elevar alíquotas da Contribuição para o PIS/PASEP- Importação e da COFINS-Importação, e dá outras providências.

NOVA EMENTA: Altera as Leis nºs 10.865, de 30 de abril de 2004, para elevar alíquotas da Contribuição para o PIS/Pasep-Importação e da Cofins-Importação, 11.941, de 27 de maio de 2009, 11.079, de 30 de dezembro de 2004, 10.925, de 23 de julho de 2004, 11.051, de 29 de dezembro de 2004, 7.827, de 27 de setembro de 1989, 8.212, de 24 de julho de 1991, 8.935, de 18 de novembro de 1994, 10.150, de 21 de dezembro de 2000, 12.810, de 15 de maio de 2013, 5.861, de 12 de dezembro de 1972, 13.043, de 13 de novembro de 2014, 10.522, de 19 de julho de 2002, 12.469, de 26 de agosto de 2011, 12.995, de 18 de junho de 2014, 13.097, de 19 de janeiro de 2015, 10.996, de 15 de dezembro de 2004, 11.196, de 21 de novembro de 2005, 10.833, de 29 de dezembro de 2003, e 12.024, de 27 de agosto de 2009, e o Decreto-Lei nº 1.598, de 26 de dezembro de 1977; revoga dispositivos das Leis nºs 4.380, de 21 de agosto de 1964, 9.430, de 27 de dezembro de 1996, e 8.177, de 1º de março de 1991; e dá outras providências.","Poder Executivo","30/01/2015","Urgência","Proposição Sujeita à Apreciação do Plenário","Alteração, lei federal, elevação, alíquota, PIS-Pasep-Importação, COFINS-Importação. _Alteração, lei federal, legislação tributária federal, parcelamento, débito tributário, utilização,  devedor, depósito judicial, pagamento, pedágio.","Tranformada no(a) Lei Ordinária 13137/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296845"
"13","2015","PLP","PLP 13/2015","946620","Projeto de Lei Complementar","Direito Penal e Processual Penal; Direitos Humanos, Minorias e Cidadania","Altera a redação do art. 3.º da Lei Complementar 79, de 7 de janeiro de 1994, que ""cria o Fundo Penitenciário Nacional - FUNPEN, e dá outras providências.","Rosangela Gomes","11/02/2015","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Lei do FUNPEN, destinação, recursos, implantação, manutenção, berçário, creche, presa gestante, presa parturiente, estabelecimento penal.","Tranformada no(a) Lei Complementar 153/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1300100"
"567","2015","REQ","REQ 567/2015","947630","Requerimento de Constituição de Comissão Externa","","Requer a instalação de Comissão Temporária Externa, destinada a acompanhar as circunstancias em que ocorreram e os desdobramentos da prisão do prefeito da cidade de Caracas, Antonio Ledezma, pelo  Serviço Bolivariano de Inteligência Nacional (Sebin).","Rubens Bueno","20/02/2015","Ordinária","Requerimento","","Diversas","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1301932"
"11","2015","PRC","PRC 11/2015","949149","Projeto de Resolução","Administração Pública","Altera o Regimento Interno da Câmara dos Deputados, aprovado pela Resolução n° 17, de 21 de setembro de 1989, para dispor sobre a Secretaria de Comunicação Social.","Mesa Diretora da Câmara dos Deputados","26/02/2015","Urgência art. 155 RICD","Proposição Sujeita à Apreciação do Plenário","Alteração, Regimento Interno da Câmara dos Deputados, Secretaria de Comunicação Social (Secom), competência, Secretário de Comunicação Social, escolha, Presidente da Câmara dos Deputados, Deputado Federal, criação, Diretoria-Executiva de Comunicação Social, cargo em comissão, cargo de natureza especial (CNE), Assessor de Comunicação da TV Câmara.","Tranformada no(a) Resolução da Câmara dos Deputados 4/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1303600"
"739","2015","REQ","REQ 739/2015 => PL 6361/2013","955528","Requerimento de Urgência (Art. 155 do RICD)","","Requer regime de urgência na apreciação do Projeto de Lei 6361 de 2013 que ""denomina Rodovia PRESIDENTE NEREU RAMOS a BR-282 no Estado de Santa Catarina"".","Esperidião Amin","03/03/2015",".",".","","MESA - Tramitação do Requerimento Finalizada","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1305021"
"784","2015","REQ","REQ 784/2015","961716","Requerimento de Convocação de Ministro de Estado no Plenário","","Solicita a convocação do Ministro de Estado da Educação, Sr. Cid Gomes, para prestar pessoalmente informações sobre declaração feita durante visita à Universidade Federal do Pará.","Mendonça Filho","04/03/2015","Ordinária","Requerimento","","Diversas","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1305768"
